data_recolha,finalidade,montante_eur,prazo_meses,prestacao_mensal_eur,taeg_pct,tan_pct,mtic_eur
2026-09-04,Formação,10000.0,48,242.42,8.9,7.34,11812.16
2026-09-04,Formação,10000.0,54,219.84,8.9,7.43,12047.36
2026-09-04,Formação,10000.0,60,201.81,8.9,7.5,12284.6
2026-09-04,Formação,10000.0,66,187.17,8.9,7.57,12529.22
2026-09-04,Formação,10000.0,72,174.92,8.9,7.61,12770.24
2026-09-04,Formação,10000.0,78,164.62,8.9,7.65,13016.36
2026-09-04,Formação,10000.0,84,155.86,8.9,7.69,13268.24
2026-09-04,Formação,10000.0,90,148.27,8.9,7.72,13520.3
2026-09-04,Formação,10000.0,96,141.68,8.9,7.75,13777.28
2026-09-04,Formação,10000.0,102,135.91,8.9,7.78,14038.82
2026-09-04,Formação,10000.0,108,130.77,8.9,7.8,14299.16
2026-09-04,Formação,10000.0,114,126.21,8.9,7.82,14563.94
2026-09-04,Formação,10000.0,120,122.09,8.9,7.83,14826.8
2026-09-04,Formação,15000.0,24,670.32,8.9,6.55,16351.68
2026-09-04,Formação,15000.0,30,547.4,8.9,6.86,16686.0
2026-09-04,Formação,15000.0,36,465.66,8.9,7.08,17027.76
2026-09-04,Formação,15000.0,42,407.24,8.9,7.22,17368.08
2026-09-04,Formação,15000.0,48,363.62,8.9,7.34,17717.76
2026-09-04,Formação,15000.0,54,329.76,8.9,7.43,18071.04
2026-09-04,Formação,15000.0,60,302.72,8.9,7.5,18427.2
2026-09-04,Formação,15000.0,66,280.76,8.9,7.57,18794.16
2026-09-04,Formação,15000.0,72,262.38,8.9,7.61,19155.36
2026-09-04,Formação,15000.0,78,246.93,8.9,7.65,19524.54
2026-09-04,Formação,15000.0,84,233.78,8.9,7.69,19901.52
2026-09-04,Formação,15000.0,90,222.4,8.9,7.72,20280.0
2026-09-04,Formação,15000.0,96,212.51,8.9,7.75,20664.96
2026-09-04,Formação,15000.0,102,203.86,8.9,7.78,21057.72
2026-09-04,Formação,15000.0,108,196.16,8.9,7.8,21449.28
2026-09-04,Formação,15000.0,114,189.32,8.9,7.82,21846.48
2026-09-04,Formação,15000.0,120,183.13,8.9,7.83,22239.6
2026-09-04,Formação,20000.0,24,893.75,8.9,6.55,21802.0
2026-09-04,Formação,20000.0,30,729.87,8.9,6.86,22248.1
2026-09-04,Formação,20000.0,36,620.87,8.9,7.08,22703.32
2026-09-04,Formação,20000.0,42,542.99,8.9,7.22,23157.58
2026-09-04,Formação,20000.0,48,484.83,8.9,7.34,23623.84
2026-09-04,Formação,20000.0,54,439.67,8.9,7.43,24094.18
2026-09-04,Formação,20000.0,60,403.62,8.9,7.5,24569.2
2026-09-04,Formação,20000.0,66,374.34,8.9,7.57,25058.44
2026-09-04,Formação,20000.0,72,349.83,8.9,7.61,25539.76
2026-09-04,Formação,20000.0,78,329.23,8.9,7.65,26031.94
2026-09-04,Formação,20000.0,84,311.71,8.9,7.69,26535.64
2026-09-04,Formação,20000.0,90,296.53,8.9,7.72,27039.7
2026-09-04,Formação,20000.0,96,283.35,8.9,7.75,27553.6
2026-09-04,Formação,20000.0,102,271.81,8.9,7.78,28076.62
2026-09-04,Formação,20000.0,108,261.54,8.9,7.8,28598.32
2026-09-04,Formação,20000.0,114,252.42,8.9,7.82,29127.88
2026-09-04,Formação,20000.0,120,244.18,8.9,7.83,29653.6
