data_recolha,finalidade,montante_eur,prazo_meses,prestacao_mensal_eur,taeg_pct,tan_pct,mtic_eur
2026-09-05,Mobiliário/Decoração,45000.0,12,3975.5,15.3,10.5,48498.0
2026-09-05,Mobiliário/Decoração,45000.0,18,2721.67,14.1,10.5,49782.06
2026-09-05,Mobiliário/Decoração,45000.0,24,2095.68,13.5,10.5,51088.32
2026-09-05,Mobiliário/Decoração,45000.0,30,1720.83,13.1,10.5,52416.9
2026-09-05,Mobiliário/Decoração,45000.0,36,1471.54,12.9,10.5,53767.44
2026-09-05,Mobiliário/Decoração,45000.0,42,1330.07,14.6,12.1,56654.94
2026-09-05,Mobiliário/Decoração,45000.0,48,1197.88,14.4,12.1,58290.24
2026-09-05,Mobiliário/Decoração,45000.0,54,1053.86,12.2,10.3,57700.44
2026-09-05,Mobiliário/Decoração,45000.0,60,971.91,12.1,10.3,59106.6
2026-09-05,Mobiliário/Decoração,45000.0,66,905.18,12.0,10.3,60533.88
2026-09-05,Mobiliário/Decoração,45000.0,72,841.63,11.6,9.95,61389.36
2026-09-05,Mobiliário/Decoração,45000.0,78,794.98,11.5,9.95,62800.44
2026-09-05,Mobiliário/Decoração,45000.0,84,722.64,9.9,8.6,61493.76
2026-09-05,Mobiliário/Decoração,50000.0,12,4417.22,15.3,10.5,53886.64
2026-09-05,Mobiliário/Decoração,50000.0,18,3024.08,14.1,10.5,55313.44
2026-09-05,Mobiliário/Decoração,50000.0,24,2328.54,13.5,10.5,56764.96
2026-09-05,Mobiliário/Decoração,50000.0,30,1912.03,13.1,10.5,58240.9
2026-09-05,Mobiliário/Decoração,50000.0,36,1635.04,12.9,10.5,59741.44
2026-09-05,Mobiliário/Decoração,50000.0,42,1477.86,14.6,12.1,62950.12
2026-09-05,Mobiliário/Decoração,50000.0,48,1330.98,14.4,12.1,64767.04
2026-09-05,Mobiliário/Decoração,50000.0,54,1170.95,12.2,10.3,64111.3
2026-09-05,Mobiliário/Decoração,50000.0,60,1079.9,12.1,10.3,65674.0
2026-09-05,Mobiliário/Decoração,50000.0,66,1005.76,12.0,10.3,67260.16
2026-09-05,Mobiliário/Decoração,50000.0,72,935.14,11.6,9.95,68210.08
2026-09-05,Mobiliário/Decoração,50000.0,78,883.31,11.5,9.95,69778.18
2026-09-05,Mobiliário/Decoração,50000.0,84,802.93,9.9,8.6,68326.12
2026-09-05,Mobiliário/Decoração,55000.0,12,4858.94,15.3,10.5,59275.28
2026-09-05,Mobiliário/Decoração,55000.0,18,3326.49,14.1,10.5,60844.82
2026-09-05,Mobiliário/Decoração,55000.0,24,2561.39,13.5,10.5,62441.36
2026-09-05,Mobiliário/Decoração,55000.0,30,2103.23,13.1,10.5,64064.9
2026-09-05,Mobiliário/Decoração,55000.0,36,1798.55,12.9,10.5,65715.8
2026-09-05,Mobiliário/Decoração,55000.0,42,1625.65,14.6,12.1,69245.3
2026-09-05,Mobiliário/Decoração,55000.0,48,1464.07,14.4,12.1,71243.36
2026-09-05,Mobiliário/Decoração,55000.0,54,1288.05,12.2,10.3,70522.7
2026-09-05,Mobiliário/Decoração,55000.0,60,1187.89,12.1,10.3,72241.4
2026-09-05,Mobiliário/Decoração,55000.0,66,1106.34,12.0,10.3,73986.44
2026-09-05,Mobiliário/Decoração,55000.0,72,1028.66,11.6,9.95,75031.52
2026-09-05,Mobiliário/Decoração,55000.0,78,971.64,11.5,9.95,76755.92
2026-09-05,Mobiliário/Decoração,55000.0,84,883.23,9.9,8.6,75159.32
2026-09-05,Mobiliário/Decoração,60000.0,12,5300.66,15.3,10.5,64663.92
2026-09-05,Mobiliário/Decoração,60000.0,18,3628.89,14.1,10.5,66376.02
2026-09-05,Mobiliário/Decoração,60000.0,24,2794.24,13.5,10.5,68117.76
2026-09-05,Mobiliário/Decoração,60000.0,30,2294.44,13.1,10.5,69889.2
2026-09-05,Mobiliário/Decoração,60000.0,36,1962.05,12.9,10.5,71689.8
